weight_kg,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8,zone9,zone10,zone11,zone12,zone13
37.00,58837,95708,95708,95708,85117,78449,122380,145915,148661,148661,122380,58837,95708
37.50,60321,98188,98188,98188,87312,80463,125582,149753,152573,152573,125582,60321,98188
38.00,60427,98294,98294,98294,87418,80569,125688,149859,152679,152679,125688,60427,98294
38.50,61911,100775,100775,100775,89612,82583,128889,153696,156590,156590,128889,61911,100775
39.00,62017,100881,100881,100881,89718,82689,128995,153802,156696,156696,128995,62017,100881
39.50,63501,103362,103362,103362,91912,84704,132197,157640,160608,160608,132197,63501,103362
40.00,63607,103468,103468,103468,92018,84810,132303,157746,160714,160714,132303,63607,103468
40.50,65091,105948,105948,105948,94213,86824,135505,161584,164626,164626,135505,65091,105948
41.00,65197,106054,106054,106054,94319,86930,135611,161690,164732,164732,135611,65197,106054
41.50,66682,108535,108535,108535,96513,88944,138812,165527,168644,168644,138812,66682,108535
42.00,66788,108641,108641,108641,96619,89050,138918,165633,168750,168750,138918,66788,108641
42.50,68272,111122,111122,111122,98814,91064,142120,169471,172662,172662,142120,68272,111122
43.00,68378,111228,111228,111228,98920,91170,142226,169577,172768,172768,142226,68378,111228
43.50,69862,113709,113709,113709,101114,93185,145427,173415,176680,176680,145427,69862,113709
44.00,69968,113815,113815,113815,101220,93291,145533,173521,176786,176786,145533,69968,113815
44.50,71452,116295,116295,116295,103415,95305,148735,177358,180698,180698,148735,71452,116295
45.00,71558,116401,116401,116401,103521,95411,148841,177464,180804,180804,148841,71558,116401
45.50,73042,118882,118882,118882,105715,97425,152042,181302,184715,184715,152042,73042,118882
46.00,73148,118988,118988,118988,105821,97531,152149,181408,184821,184821,152149,73148,118988
46.50,74632,121469,121469,121469,108016,99545,155350,185245,188733,188733,155350,74632,121469
47.00,74739,121575,121575,121575,108122,99651,155456,185351,188839,188839,155456,74739,121575
47.50,76223,124055,124055,124055,110316,101666,158658,189189,192751,192751,158658,76223,124055
48.00,76329,124161,124161,124161,110422,101772,158764,189295,192857,192857,158764,76329,124161
48.50,77813,126642,126642,126642,112617,103786,161965,193133,196769,196769,161965,77813,126642
49.00,77919,126748,126748,126748,112723,103892,162071,193239,196875,196875,162071,77919,126748
49.50,79403,129229,129229,129229,114917,105906,165273,197076,200787,200787,165273,79403,129229
50.00,79509,129335,129335,129335,115023,106012,165379,197182,200893,200893,165379,79509,129335
50.50,80993,131815,131815,131815,117218,108026,168580,201020,204805,204805,168580,80993,131815
51.00,81099,131921,131921,131921,117324,108132,168686,201126,204911,204911,168686,81099,131921
51.50,82583,134402,134402,134402,119518,110147,171888,204964,208823,208823,171888,82583,134402
52.00,82689,134508,134508,134508,119624,110253,171994,205070,208929,208929,171994,82689,134508
52.50,84174,136989,136989,136989,121818,112267,175196,208907,212840,212840,175196,84174,136989
53.00,84280,137095,137095,137095,121924,112373,175302,209013,212946,212946,175302,84280,137095
53.50,85764,139575,139575,139575,124119,114387,178503,212851,216858,216858,178503,85764,139575
54.00,85870,139681,139681,139681,124225,114493,178609,212957,216964,216964,178609,85870,139681
54.50,87354,142162,142162,142162,126419,116507,181811,216795,220876,220876,181811,87354,142162
55.00,87460,142268,142268,142268,126525,116613,181917,216901,220982,220982,181917,87460,142268
55.50,88944,144749,144749,144749,128720,118627,185118,220738,224894,224894,185118,88944,144749
56.00,89050,144855,144855,144855,128826,118734,185224,220844,225000,225000,185224,89050,144855
56.50,90534,147336,147336,147336,131020,120748,188426,224682,228912,228912,188426,90534,147336
57.00,90640,147442,147442,147442,131126,120854,188532,224788,229018,229018,188532,90640,147442
57.50,92124,149922,149922,149922,133321,122868,191733,228626,232930,232930,191733,92124,149922
58.00,92230,150028,150028,150028,133427,122974,191839,228732,233036,233036,191839,92230,150028
58.50,93715,152509,152509,152509,135621,124988,195041,232569,236948,236948,195041,93715,152509
59.00,93821,152615,152615,152615,135727,125094,195147,232675,237054,237054,195147,93821,152615
59.50,95305,155096,155096,155096,137922,127108,198349,236513,240965,240965,198349,95305,155096
60.00,95411,155202,155202,155202,138028,127214,198455,236619,241071,241071,198455,95411,155202
60.50,96895,157682,157682,157682,140222,129229,201656,240457,244983,244983,201656,96895,157682
61.00,97001,157788,157788,157788,140328,129335,201762,240563,245089,245089,201762,97001,157788
61.50,98485,160269,160269,160269,142523,131349,204964,244400,249001,249001,204964,98485,160269
62.00,98591,160375,160375,160375,142629,131455,205070,244506,249107,249107,205070,98591,160375
62.50,100075,162856,162856,162856,144823,133469,208271,248344,253019,253019,208271,100075,162856
63.00,100181,162962,162962,162962,144929,133575,208377,248450,253125,253125,208377,100181,162962
63.50,101666,165442,165442,165442,147124,135589,211579,252288,257037,257037,211579,101666,165442
64.00,101772,165548,165548,165548,147230,135695,211685,252394,257143,257143,211685,101772,165548
64.50,103256,168029,168029,168029,149424,137710,214886,256231,261055,261055,214886,103256,168029
65.00,103362,168135,168135,168135,149530,137816,214992,256337,261161,261161,214992,103362,168135
65.50,104846,170616,170616,170616,151724,139830,218194,260175,265073,265073,218194,104846,170616
66.00,104952,170722,170722,170722,151830,139936,218300,260281,265179,265179,218300,104952,170722
66.50,106436,173203,173203,173203,154025,141950,221502,264118,269090,269090,221502,106436,173203
67.00,106542,173309,173309,173309,154131,142056,221608,264224,269196,269196,221608,106542,173309
67.50,108026,175789,175789,175789,156325,144070,224809,268062,273108,273108,224809,108026,175789
68.00,108132,175895,175895,175895,156431,144176,224915,268168,273214,273214,224915,108132,175895
68.50,109616,178376,178376,178376,158626,146191,228117,272006,277126,277126,228117,109616,178376
69.00,109722,178482,178482,178482,158732,146297,228223,272112,277232,277232,228223,109722,178482
69.50,111207,180963,180963,180963,160926,148311,231424,275949,281144,281144,231424,111207,180963
70.00,111313,181069,181069,181069,161032,148417,231530,276055,281250,281250,231530,111313,181069
70.50,112797,183549,183549,183549,163227,150431,234732,279893,285162,285162,234732,112797,183549
71.00,112903,183655,183655,183655,163333,150537,234838,279999,285268,285268,234838,112903,183655
71.50,114387,186136,186136,186136,165527,152551,238039,283837,289180,289180,238039,114387,186136
72.00,114493,186242,186242,186242,165633,152657,238145,283943,289286,289286,238145,114493,186242
72.50,115977,188723,188723,188723,167828,154672,241347,287780,293198,293198,241347,115977,188723
73.00,116083,188829,188829,188829,167934,154778,241453,287886,293304,293304,241453,116083,188829
73.50,117567,191309,191309,191309,170128,156792,244655,291724,297215,297215,244655,117567,191309
74.00,117673,191415,191415,191415,170234,156898,244761,291830,297321,297321,244761,117673,191415
74.50,119158,193896,193896,193896,172429,158912,247962,295668,301233,301233,247962,119158,193896
75.00,119264,194002,194002,194002,172535,159018,248068,295774,301339,301339,248068,119264,194002
75.50,120748,196483,196483,196483,174729,161032,251270,299611,305251,305251,251270,120748,196483
76.00,120854,196589,196589,196589,174835,161138,251376,299717,305357,305357,251376,120854,196589
76.50,122338,199069,199069,199069,177030,163153,254577,303555,309269,309269,254577,122338,199069
77.00,122444,199175,199175,199175,177136,163259,254683,303661,309375,309375,254683,122444,199175
77.50,123928,201656,201656,201656,179330,165273,257885,307499,313287,313287,257885,123928,201656
78.00,124034,201762,201762,201762,179436,165379,257991,307605,313393,313393,257991,124034,201762
78.50,125518,204243,204243,204243,181630,167393,261193,311442,317305,317305,261193,125518,204243
79.00,125624,204349,204349,204349,181736,167499,261299,311548,317411,317411,261299,125624,204349
79.50,127108,206830,206830,206830,183931,169513,264500,315386,321323,321323,264500,127108,206830
80.00,127214,206936,206936,206936,184037,169619,264606,315492,321429,321429,264606,127214,206936
80.50,128699,209416,209416,209416,186231,171634,267808,319330,325340,325340,267808,128699,209416
81.00,128805,209522,209522,209522,186337,171740,267914,319436,325446,325446,267914,128805,209522
81.50,130289,212003,212003,212003,188532,173754,271115,323273,329358,329358,271115,130289,212003
82.00,130395,212109,212109,212109,188638,173860,271221,323379,329464,329464,271221,130395,212109
82.50,131879,214590,214590,214590,190832,175874,274423,327217,333376,333376,274423,131879,214590
83.00,131985,214696,214696,214696,190938,175980,274529,327323,333482,333482,274529,131985,214696
83.50,133469,217176,217176,217176,193133,177994,277730,331160,337394,337394,277730,133469,217176
84.00,133575,217282,217282,217282,193239,178100,277836,331266,337500,337500,277836,133575,217282
84.50,135059,219763,219763,219763,195433,180114,281038,335104,341412,341412,281038,135059,219763
85.00,135165,219869,219869,219869,195539,180221,281144,335210,341518,341518,281144,135165,219869
85.50,136650,222350,222350,222350,197734,182235,284346,339048,345430,345430,284346,136650,222350
86.00,136756,222456,222456,222456,197840,182341,284452,339154,345536,345536,284452,136756,222456
86.50,138240,224936,224936,224936,200034,184355,287653,342991,349448,349448,287653,138240,224936
87.00,138346,225042,225042,225042,200140,184461,287759,343097,349554,349554,287759,138346,225042
87.50,139830,227523,227523,227523,202335,186475,290961,346935,353465,353465,290961,139830,227523
88.00,139936,227629,227629,227629,202441,186581,291067,347041,353571,353571,291067,139936,227629
88.50,141420,230110,230110,230110,204635,188595,294268,350879,357483,357483,294268,141420,230110
89.00,141526,230216,230216,230216,204741,188701,294374,350985,357589,357589,294374,141526,230216
89.50,143010,232696,232696,232696,206936,190716,297576,354822,361501,361501,297576,143010,232696
90.00,143116,232802,232802,232802,207042,190822,297682,354928,361607,361607,297682,143116,232802
90.50,144600,235283,235283,235283,209236,192836,300883,358766,365519,365519,300883,144600,235283
91.00,144706,235389,235389,235389,209342,192942,300989,358872,365625,365625,300989,144706,235389
91.50,146191,237870,237870,237870,211536,194956,304191,362710,369537,369537,304191,146191,237870
92.00,146297,237976,237976,237976,211642,195062,304297,362816,369643,369643,304297,146297,237976
92.50,147781,240457,240457,240457,213837,197076,307499,366653,373555,373555,307499,147781,240457
93.00,147887,240563,240563,240563,213943,197182,307605,366759,373661,373661,307605,147887,240563
93.50,149371,243043,243043,243043,216137,199197,310806,370597,377573,377573,310806,149371,243043
94.00,149477,243149,243149,243149,216243,199303,310912,370703,377679,377679,310912,149477,243149
94.50,150961,245630,245630,245630,218438,201317,314114,374541,381590,381590,314114,150961,245630
95.00,151067,245736,245736,245736,218544,201423,314220,374647,381696,381696,314220,151067,245736
95.50,152551,248217,248217,248217,220738,203437,317421,378484,385608,385608,317421,152551,248217
96.00,152657,248323,248323,248323,220844,203543,317527,378590,385714,385714,317527,152657,248323
96.50,154142,250803,250803,250803,223039,205557,320729,382428,389626,389626,320729,154142,250803
97.00,154248,250909,250909,250909,223145,205663,320835,382534,389732,389732,320835,154248,250909
97.50,155732,253390,253390,253390,225339,207678,324036,386372,393644,393644,324036,155732,253390
98.00,155838,253496,253496,253496,225445,207784,324142,386478,393750,393750,324142,155838,253496
98.50,157322,255977,255977,255977,227640,209798,327344,390315,397662,397662,327344,157322,255977
99.00,157428,256083,256083,256083,227746,209904,327450,390421,397768,397768,327450,157428,256083
99.50,158912,258563,258563,258563,229940,211918,330652,394259,401680,401680,330652,158912,258563
100.00,159018,258669,258669,258669,230046,212024,330758,394365,401786,401786,330758,159018,258669
